node,label
0,ORF-V
1,ORF-V
2,ORF-V
3,ORF-V
4,ORF-V
5,ORF-V
6,ORF-V
7,ORF-V
8,ORF-V
9,ORF-V
10,ORF-V
11,ORF-V
12,ORF-V
13,ORF-V
14,ORF-V
15,ORF-V
16,ORF-V
17,ORF-V
18,ORF-V
19,ORF-V
20,ORF-V
21,ORF-V
22,ORF-V
23,ORF-V
24,ORF-V
25,ORF-V
26,ORF-V
27,ORF-V
28,ORF-V
29,ORF-V
30,ORF-V
31,ORF-V
32,ORF-V
33,ORF-V
34,ORF-V
35,ORF-V
36,ORF-V
37,ORF-V
38,ORF-V
39,ORF-V
40,ORF-V
41,ORF-V
42,ORF-V
43,ORF-V
44,ORF-V
45,ORF-V
46,ORF-V
47,ORF-V
48,ORF-V
49,ORF-V
50,ORF-V
51,ORF-V
52,ORF-V
53,ORF-V
54,ORF-V
55,ORF-V
56,ORF-V
57,ORF-V
58,ORF-V
59,ORF-V
60,ORF-V
61,ORF-V
62,ORF-V
63,ORF-V
64,ORF-V
65,ORF-V
66,ORF-V
67,ORF-V
68,ORF-V
69,ORF-V
70,ORF-V
71,ORF-V
72,ORF-U
73,ORF-V
74,ORF-U
75,ORF-V
76,ORF-V
77,ORF-V
78,ORF-V
79,ORF-V
80,ORF-V
81,ORF-V
82,ORF-V
83,ORF-V
84,ORF-V
85,ORF-V
86,ORF-V
87,ORF-V
88,ORF-V
89,ORF-V
90,ORF-V
91,ORF-V
92,ORF-V
93,ORF-V
94,ORF-V
95,ORF-V
96,ORF-V
97,ORF-V
98,ORF-V
99,ORF-V
100,ORF-V
101,ORF-V
102,ORF-V
103,ORF-V
104,ORF-V
105,ORF-V
106,ORF-V
107,ORF-V
108,ORF-V
109,ORF-V
110,ORF-V
111,ORF-V
112,ORF-V
113,ORF-V
114,ORF-V
115,ORF-V
116,ORF-V
117,ORF-V
118,ORF-V
119,ORF-V
120,ORF-V
121,ORF-V
122,ORF-V
123,ORF-V
124,ORF-V
125,ORF-V
126,ORF-V
127,ORF-V
128,ORF-V
129,ORF-V
130,ORF-V
131,ORF-V
132,ORF-V
133,ORF-V
134,ORF-V
135,ORF-V
136,ORF-V
137,ORF-V
138,ORF-V
139,ORF-V
140,ORF-V
141,ORF-V
142,ORF-V
143,ORF-V
144,ORF-V
145,ORF-V
146,ORF-V
147,ORF-V
148,ORF-V
149,ORF-V
150,ORF-V
151,ORF-V
152,ORF-V
153,ORF-V
154,ORF-V
155,ORF-U
156,ORF-V
157,ORF-V
158,ORF-V
159,ORF-V
160,ORF-V
161,ORF-V
162,ORF-V
163,ORF-V
164,ORF-V
165,ORF-V
166,ORF-V
167,ORF-V
168,ORF-V
169,ORF-V
170,ORF-V
171,ORF-V
172,ORF-V
173,ORF-V
174,ORF-V
175,ORF-V
176,ORF-V
177,ORF-V
178,ORF-V
179,ORF-V
180,ORF-V
181,ORF-V
182,ORF-U
183,ORF-V
184,ORF-V
185,ORF-V
186,ORF-V
187,ORF-V
188,ORF-V
189,ORF-V
190,ORF-V
191,ORF-V
192,ORF-V
193,ORF-V
194,ORF-V
195,ORF-U
196,ORF-V
197,ORF-V
198,ORF-V
199,ORF-V
200,ORF-V
201,ORF-V
202,ORF-V
203,ORF-V
204,ORF-V
205,ORF-V
206,ORF-V
207,ORF-V
208,ORF-V
209,ORF-V
210,ORF-V
211,ORF-V
212,ORF-V
213,ORF-V
214,ORF-V
215,ORF-V
216,ORF-V
217,ORF-V
218,ORF-V
219,ORF-V
220,ORF-V
221,ORF-V
222,ORF-V
223,ORF-V
224,ORF-V
225,ORF-V
226,ORF-V
227,ORF-V
228,ORF-V
229,ORF-V
230,ORF-V
231,ORF-V
232,ORF-V
233,ORF-V
234,ORF-V
235,ORF-V
236,ORF-V
237,ORF-V
238,ORF-V
239,ORF-V
240,ORF-V
241,ORF-V
242,ORF-V
243,ORF-V
244,ORF-V
245,ORF-V
246,ORF-V
247,ORF-V
248,ORF-V
249,ORF-V
250,ORF-V
251,ORF-V
252,ORF-V
253,ORF-V
254,ORF-V
255,ORF-V
256,ORF-V
257,ORF-V
258,ORF-V
259,ORF-V
260,ORF-V
261,ORF-V
262,ORF-V
263,ORF-V
264,ORF-V
265,ORF-V
266,ORF-V
267,ORF-V
268,ORF-V
269,ORF-V
270,ORF-V
271,ORF-V
272,ORF-V
273,ORF-V
274,ORF-V
275,ORF-V
276,ORF-V
277,ORF-V
278,ORF-V
279,ORF-V
280,ORF-V
281,ORF-V
282,ORF-V
283,ORF-V
284,ORF-V
285,ORF-V
286,ORF-V
287,ORF-V
288,ORF-V
289,ORF-V
290,ORF-V
291,ORF-V
292,ORF-V
293,ORF-V
294,ORF-V
295,ORF-V
296,ORF-V
297,ORF-V
298,ORF-V
299,ORF-V
300,ORF-V
301,ORF-V
302,ORF-V
303,ORF-V
304,ORF-V
305,ORF-V
306,ORF-V
307,ORF-V
