src,trg,time
12830,14791,1147169457.0
11072,21587,1147169503.0
12830,14797,1147170043.0
1084,6297,1147170425.0
9089,2304,1147170522.0
10435,18419,1147170708.0
14135,1372,1147171242.0
5333,5590,1147171320.0
12830,14797,1147171832.0
21019,20942,1147172024.0
1595,1021,1147172256.0
12830,14797,1147172431.0
12830,14797,1147172573.0
12830,14791,1147174091.0
20942,526,1147174490.0
12830,14791,1147174985.0
4789,3530,1147175058.0
6116,8750,1147175295.0
591,4433,1147175866.0
1840,10616,1147176519.0
9215,6261,1147177548.0
21019,7516,1147178372.0
5064,5043,1147178505.0
146,8699,1147178615.0
27211,27206,1147180251.0
5064,5043,1147180570.0
10021,14834,1147181785.0
717,7781,1147182576.0
15522,15521,1147183052.0
21019,15294,1147183816.0
12435,14474,1147185198.0
1212,16620,1147187370.0
2304,9089,1147189117.0
10542,5800,1147192532.0
5240,14198,1147198894.0
4837,5758,1147202565.0
5931,23895,1147214183.0
6720,4155,1147215294.0
5931,14435,1147218726.0
9822,17348,1147218914.0
8292,8073,1147219332.0
9089,2304,1147220720.0
14474,12435,1147220995.0
2137,2117,1147221032.0
5077,16248,1147223091.0
5077,16248,1147223479.0
1910,2290,1147223561.0
1718,3807,1147223658.0
3807,1718,1147224082.0
3428,2501,1147224360.0
1127,633,1147224798.0
5410,4299,1147227027.0
1184,25848,1147227409.0
29550,12911,1147227966.0
17413,5377,1147228088.0
5758,4837,1147228737.0
10542,5800,1147229098.0
3154,2991,1147233586.0
16327,1626,1147234028.0
14961,15380,1147234923.0
18416,1597,1147234971.0
12911,29550,1147236956.0
8943,1448,1147237594.0
9563,8282,1147237985.0
11109,5711,1147238100.0
8073,8292,1147239372.0
6842,8506,1147241072.0
14874,8600,1147241090.0
12968,19468,1147241767.0
5428,7902,1147243999.0
12974,1920,1147244005.0
802,6069,1147245056.0
12061,1441,1147245532.0
22428,9369,1147246077.0
12968,8129,1147247107.0
18238,16791,1147248470.0
29315,2834,1147248674.0
8594,20812,1147250335.0
8293,6154,1147251038.0
802,608,1147251516.0
5931,5564,1147251759.0
16844,5564,1147251783.0
5931,15294,1147251788.0
16202,8066,1147252492.0
12061,1441,1147253569.0
802,8857,1147253659.0
5064,8701,1147254196.0
17855,1441,1147254285.0
18038,263,1147255133.0
27211,27206,1147256017.0
13999,13284,1147256579.0
3913,22719,1147256688.0
14135,1372,1147256943.0
547,146,1147257456.0
146,8699,1147257879.0
802,146,1147258208.0
27211,27206,1147258225.0
146,8699,1147258375.0
8119,6261,1147259124.0
12061,1441,1147259221.0
27211,27206,1147260810.0
1441,12061,1147261295.0
8343,8342,1147261315.0
35482,28435,1147263180.0
3413,14882,1147264093.0
146,608,1147264722.0
14961,2195,1147265138.0
4166,1372,1147265628.0
18793,579,1147265636.0
2195,14961,1147266871.0
15380,14961,1147266985.0
22227,4447,1147267567.0
3564,1136,1147267918.0
15962,11024,1147268008.0
4447,22227,1147269052.0
21010,7044,1147270549.0
5077,8407,1147273885.0
17459,4036,1147278224.0
5917,1751,1147282220.0
6446,1533,1147284881.0
9990,9988,1147298751.0
2318,309,1147305485.0
12830,14797,1147306489.0
3077,1764,1147309920.0
8294,9764,1147311497.0
1984,3253,1147312311.0
21821,5891,1147313525.0
8504,15792,1147313746.0
2259,2260,1147314625.0
1412,1640,1147314743.0
2137,2117,1147315394.0
2932,6116,1147315617.0
2830,6516,1147316065.0
5917,1994,1147317063.0
5917,10724,1147317495.0
2260,2259,1147319085.0
2259,2260,1147319442.0
18147,3455,1147320097.0
2935,8934,1147320442.0
11160,11012,1147320730.0
3007,7999,1147321196.0
3077,1764,1147322326.0
3077,1764,1147322423.0
7999,3007,1147322620.0
14131,2690,1147322678.0
5917,1764,1147323083.0
3077,1764,1147323222.0
15948,18312,1147323244.0
18312,15948,1147323585.0
146,2290,1147323717.0
7449,18312,1147324139.0
7443,712,1147324165.0
8504,5558,1147327531.0
1374,1372,1147328345.0
2756,2512,1147328409.0
712,7443,1147328543.0
5917,1771,1147328856.0
5118,15565,1147329098.0
18641,15565,1147329838.0
5917,1588,1147330331.0
25196,1926,1147331043.0
4903,4968,1147331113.0
20983,5559,1147331116.0
17075,5559,1147331854.0
16302,5559,1147331924.0
16329,10221,1147332026.0
5050,5559,1147332276.0
18419,5559,1147332336.0
8922,14368,1147333174.0
13357,5355,1147336100.0
20336,32505,1147336682.0
13410,7518,1147337582.0
7055,3736,1147338212.0
19468,5088,1147338268.0
7957,3190,1147339546.0
18622,10616,1147339596.0
13732,8922,1147340858.0
8087,8937,1147341540.0
12830,14797,1147341769.0
8922,13732,1147343811.0
5917,27980,1147344037.0
21643,12175,1147344657.0
3455,18147,1147345179.0
8623,27845,1147345358.0
17387,14358,1147345370.0
146,547,1147346111.0
9563,8282,1147347243.0
18793,579,1147347567.0
12686,12695,1147348178.0
5661,3423,1147348783.0
5661,3423,1147349027.0
1899,1898,1147349141.0
8087,11391,1147350028.0
10179,896,1147350076.0
24927,8235,1147350663.0
8951,18964,1147351037.0
13732,8922,1147351176.0
17224,30486,1147352304.0
3901,25953,1147353400.0
7829,8074,1147353717.0
17846,6760,1147354001.0
8087,8399,1147355281.0
3761,3532,1147359544.0
1021,1595,1147366785.0
7320,8402,1147368499.0
9476,14792,1147380973.0
12424,13903,1147384775.0
8397,1906,1147386993.0
2200,35281,1147390989.0
8598,8397,1147391918.0
4648,1278,1147393137.0
3736,7055,1147395091.0
1925,7522,1147396544.0
8397,8598,1147396782.0
591,4433,1147398428.0
2584,5891,1147400059.0
500,2921,1147400188.0
11520,8512,1147402514.0
2693,2500,1147405196.0
4255,2662,1147405309.0
2967,10098,1147406452.0
17843,21984,1147408221.0
2691,2701,1147408978.0
9799,14069,1147409624.0
11290,6739,1147410231.0
547,146,1147410610.0
15948,9369,1147413616.0
14069,3986,1147414151.0
4821,4619,1147416602.0
5081,1594,1147418847.0
1127,633,1147420439.0
1127,633,1147420586.0
7520,9683,1147421784.0
20560,5086,1147422058.0
27211,5532,1147425450.0
27211,5532,1147425884.0
22934,3009,1147425911.0
9476,14792,1147426808.0
1760,18446,1147427583.0
3910,15232,1147428028.0
27211,5532,1147430114.0
4122,2022,1147433476.0
12450,3403,1147433997.0
4738,6113,1147435844.0
3152,1127,1147436373.0
25130,11953,1147436671.0
17224,32153,1147436906.0
7576,5058,1147439139.0
910,888,1147439475.0
18147,3455,1147440656.0
16359,2523,1147440870.0
19468,5088,1147444190.0
17888,11451,1147445380.0
5985,2128,1147449494.0
8235,24927,1147455036.0
4118,17934,1147461217.0
3077,14310,1147469726.0
21570,12062,1147474259.0
1906,13013,1147475778.0
12062,21570,1147476794.0
13013,1906,1147478919.0
4822,17588,1147480054.0
4822,21071,1147481891.0
16553,1025,1147482954.0
10542,10538,1147483723.0
591,4433,1147484701.0
93,1920,1147484803.0
19064,3986,1147486400.0
21570,9758,1147486926.0
93,1928,1147488461.0
8560,16789,1147490323.0
1426,2181,1147491795.0
21821,5891,1147492320.0
6851,6778,1147492478.0
8951,18964,1147493559.0
8875,8197,1147493627.0
21570,32820,1147493721.0
909,14555,1147493803.0
909,14555,1147494001.0
93,1211,1147494284.0
8560,8548,1147495377.0
19064,13925,1147495698.0
4138,1297,1147495738.0
6840,6842,1147497003.0
10101,10099,1147497850.0
1899,1898,1147498021.0
4176,13688,1147498613.0
93,8129,1147500140.0
19064,4699,1147500736.0
93,8119,1147501710.0
4122,2022,1147502233.0
15028,20963,1147504386.0
6083,862,1147504894.0
23694,6152,1147505598.0
6262,14081,1147506899.0
24382,7984,1147506980.0
18793,579,1147510259.0
9211,2298,1147514262.0
19064,7516,1147515913.0
7067,9839,1147516113.0
3540,1514,1147519399.0
5788,5867,1147519577.0
1906,8397,1147520516.0
910,888,1147521494.0
880,888,1147521793.0
93,7895,1147524003.0
41896,27208,1147524819.0
9213,8452,1147526164.0
1212,7536,1147526446.0
8598,8624,1147526686.0
8591,8592,1147526717.0
3904,2436,1147527100.0
93,532,1147527155.0
1722,503,1147527456.0
22403,13095,1147527537.0
22227,5603,1147527933.0
6842,12641,1147529169.0
24111,13906,1147529669.0
10469,17098,1147531568.0
23694,10228,1147534058.0
6288,10541,1147537094.0
1212,5417,1147539072.0
7052,5417,1147539170.0
6152,23694,1147553438.0
10228,23694,1147553526.0
1212,9694,1147560285.0
7660,8899,1147561163.0
888,858,1147564256.0
12176,14067,1147564306.0
916,862,1147565235.0
6691,494,1147565501.0
5603,22227,1147566046.0
4458,10222,1147567483.0
6468,2032,1147571318.0
13974,2032,1147571496.0
14964,4960,1147574191.0
1212,1975,1147575313.0
1212,7046,1147575716.0
1207,15,1147579080.0
1194,15,1147579253.0
8397,8629,1147580084.0
27211,5532,1147580427.0
2259,5549,1147581932.0
1212,1920,1147582529.0
7052,7051,1147585229.0
12111,6151,1147589452.0
9767,18129,1147590012.0
916,2138,1147590523.0
8951,8592,1147591972.0
6468,18515,1147592558.0
916,14935,1147597699.0
1212,9318,1147598360.0
22033,31283,1147600596.0
11126,9992,1147601823.0
20943,15949,1147603409.0
9141,19449,1147603411.0
8921,16753,1147606772.0
8598,8624,1147606999.0
1212,7036,1147608107.0
3368,616,1147611876.0
22033,31283,1147612256.0
17883,8263,1147619458.0
7312,2035,1147625913.0
7519,8400,1147629149.0
7536,1212,1147634413.0
70,4555,1147640138.0
6668,14555,1147641985.0
16906,899,1147643323.0
22271,3457,1147650630.0
9992,11126,1147653474.0
8343,8342,1147654590.0
17888,11451,1147659996.0
3433,23409,1147660583.0
27048,730,1147662728.0
10728,18104,1147664961.0
27048,730,1147666038.0
17888,295,1147668090.0
27211,5532,1147669009.0
27211,28159,1147669829.0
286,8197,1147671189.0
441,146,1147671471.0
22271,5553,1147673439.0
24358,15563,1147675093.0
887,899,1147677514.0
5352,10179,1147678479.0
1975,1212,1147679232.0
7046,1212,1147679279.0
4895,9939,1147679620.0
5092,8184,1147679798.0
14520,12440,1147681190.0
5352,4426,1147682088.0
2856,2168,1147682089.0
2726,5775,1147684232.0
8921,16753,1147684411.0
12061,1441,1147684863.0
5352,10176,1147686113.0
24431,26136,1147686123.0
3627,11789,1147686365.0
16906,4240,1147686606.0
9808,1926,1147688554.0
19401,13674,1147688668.0
1974,1964,1147691065.0
15380,14961,1147691361.0
7528,5105,1147693237.0
12634,413,1147693389.0
1964,1974,1147694211.0
7519,5032,1147694325.0
15419,19777,1147695232.0
