node,label
1170,MP*1
1644,MP*1
1613,MP*1
1181,MP*1
1651,MP*1
1108,MP*1
1190,MP*1
1671,MP*1
1672,MP*1
1660,MP*1
1662,MP*1
803,PC*
849,PC*
1144,MP*1
656,PC
682,PC
1148,MP*1
1632,MP*1
1492,MP*1
1601,MP*1
626,PC
698,PC
683,PC
692,PC
610,PC
636,PC
643,PC
654,PC
694,PC
623,PC
652,PC
661,PC
616,PC
613,PC
658,PC
651,PC
1629,MP*1
1164,MP*1
1657,MP*1
1622,MP*1
1658,MP*1
1679,MP*1
1674,MP*1
609,PC
690,PC
600,PC
1649,MP*1
851,PSI*
855,PSI*
841,PSI*
848,PSI*
856,PSI*
867,PSI*
868,PSI*
1618,MP*1
664,PSI*
1667,MP*1
1645,MP*1
830,PSI*
834,PSI*
601,PC
823,PC*
667,PC
634,PSI*
894,PC*
896,PC*
853,PSI*
892,PC*
864,PSI*
882,PC*
886,PC*
873,PSI*
821,PC*
644,PC
696,PC
826,PSI*
847,PC*
686,PC
893,PC*
857,PSI*
815,PC*
871,PSI*
660,PC
866,PSI*
814,PC*
895,PC*
1678,MP*1
810,PSI*
854,PSI*
889,PC*
890,PC*
891,PC*
888,PC*
618,PC
804,PC*
817,PC*
883,PC*
875,PC*
880,PC*
869,PSI*
806,PC*
807,PC*
897,PC*
863,PSI*
681,PC
819,PC*
828,PSI*
628,PC
824,PC*
822,PC*
845,PSI*
676,PSI*
862,PSI*
1628,MP*1
838,PSI*
852,PSI*
627,PC
635,PC
898,PC*
612,MP*2
641,MP*2
699,MP*2
620,MP*2
827,PSI*
674,MP*2
622,MP*2
695,MP*2
685,MP*2
684,MP*2
606,MP*2
650,MP*2
611,MP*2
603,MP*2
615,MP*2
669,MP*2
619,MP*2
649,MP*2
1856,MP*1
647,MP*2
668,MP*2
678,MP*2
677,MP*2
809,PC*
646,MP*2
691,MP*2
887,PC*
621,MP*2
813,PSI*
689,MP*2
825,PSI*
665,MP*2
638,MP*2
648,PC
843,PSI*
629,MP*2
812,PC*
1686,MP*1
860,PSI*
614,MP*2
832,PSI*
865,PSI*
858,PSI*
831,PSI*
829,PSI*
884,PC*
663,PC
836,PSI*
833,PSI*
617,MP*2
605,MP*2
655,MP*2
602,MP*2
802,PSI*
687,MP*2
662,MP*2
666,PC
881,PC*
607,PC
624,PC
633,PC
