,src,trg,time
0,1,2,1082008561
1,3,4,1082123439
2,5,2,1082381991
3,6,7,1082407219
4,8,7,1082407356
5,9,10,1082408003
6,9,11,1082408053
7,12,13,1082408788
8,9,14,1082409354
9,9,15,1082409424
10,9,16,1082409495
11,9,17,1082409753
12,9,14,1082409928
13,9,18,1082410160
14,19,18,1082410623
15,20,21,1082412544
16,19,22,1082417674
17,8,23,1082417843
18,9,24,1082418245
19,9,22,1082418256
20,25,21,1082434689
21,26,7,1082448725
22,27,28,1082457840
23,29,25,1082471683
24,30,31,1082485106
25,30,31,1082485111
26,30,31,1082485113
27,30,31,1082485116
28,32,33,1082485623
29,34,35,1082493130
30,34,33,1082493318
31,36,37,1082498549
32,38,39,1082506449
33,36,40,1082507157
34,41,15,1082507905
35,41,11,1082507954
36,41,14,1082508062
37,41,13,1082508096
38,41,39,1082509042
39,41,42,1082541811
40,41,43,1082543944
41,9,40,1082551300
42,44,45,1082553068
43,46,22,1082555305
44,44,46,1082555822
45,47,46,1082556108
46,48,46,1082557083
47,9,49,1082564155
48,36,50,1082565315
49,44,51,1082565351
50,32,52,1082565656
51,36,32,1082565722
52,53,54,1082565995
53,36,55,1082566145
54,56,57,1082566148
55,36,32,1082566285
56,36,58,1082566365
57,44,59,1082566520
58,51,58,1082566534
59,44,14,1082566672
60,36,56,1082566976
61,36,60,1082567317
62,56,61,1082567668
63,62,50,1082568009
64,36,60,1082568387
65,32,59,1082569055
66,36,60,1082569472
67,36,50,1082569513
68,41,63,1082570219
69,41,64,1082570268
70,41,65,1082570282
71,41,56,1082570300
72,41,61,1082570361
73,41,43,1082570378
74,41,52,1082570407
75,41,58,1082570438
76,41,59,1082570668
77,9,64,1082570724
78,9,58,1082570779
79,12,66,1082570819
80,32,58,1082570866
81,12,66,1082570868
82,67,32,1082571114
83,41,32,1082571171
84,67,32,1082571249
85,32,68,1082571281
86,68,56,1082571450
87,67,32,1082571468
88,67,32,1082571599
89,68,61,1082571618
90,67,32,1082571679
91,67,8,1082572296
92,69,67,1082572990
93,70,51,1082574767
94,44,50,1082574889
95,67,32,1082575954
96,71,58,1082576005
97,71,72,1082576081
98,51,58,1082576109
99,72,71,1082576849
100,73,74,1082577249
101,74,73,1082577319
102,73,74,1082577513
103,74,73,1082577572
104,34,58,1082577714
105,44,75,1082577717
106,44,75,1082577841
107,9,58,1082577894
108,73,74,1082577932
109,9,76,1082577939
110,32,77,1082578926
111,41,76,1082579706
112,41,78,1082579722
113,79,48,1082580094
114,79,63,1082580135
115,41,80,1082580218
116,79,58,1082580264
117,41,81,1082580272
118,79,70,1082580547
119,19,82,1082580971
120,19,72,1082581044
121,12,32,1082581066
122,19,64,1082581510
123,19,58,1082581630
124,19,58,1082581635
125,19,58,1082581637
126,19,52,1082581988
127,83,59,1082582060
128,51,70,1082582077
129,38,58,1082582431
130,41,58,1082583643
131,63,79,1082583685
132,41,63,1082583693
133,67,59,1082583959
134,41,63,1082584335
135,41,58,1082584702
136,44,84,1082585266
137,19,85,1082585806
138,19,72,1082585894
139,3,84,1082586642
140,19,8,1082586796
141,19,58,1082586871
142,84,86,1082587433
143,83,58,1082587603
144,36,60,1082587632
145,86,48,1082587831
146,87,63,1082588109
147,36,88,1082588289
148,87,8,1082588550
149,36,89,1082588983
150,90,56,1082589002
151,36,90,1082589059
152,36,84,1082589118
153,91,92,1082589175
154,36,93,1082589360
155,91,92,1082589425
156,36,90,1082589441
157,91,92,1082589581
158,36,60,1082589801
159,36,84,1082590292
160,51,58,1082590412
161,94,84,1082590504
162,36,84,1082590870
163,94,84,1082590889
164,94,84,1082591264
165,69,84,1082591364
166,69,95,1082591395
167,87,8,1082591660
168,3,84,1082592049
169,3,84,1082592296
170,48,86,1082592817
171,84,8,1082593887
172,91,81,1082594822
173,96,88,1082594995
174,8,84,1082595973
175,84,8,1082596890
176,91,47,1082597173
177,97,98,1082597822
178,98,97,1082597976
179,97,98,1082598011
180,48,97,1082598120
181,99,8,1082598432
182,99,8,1082598446
183,97,48,1082598576
184,100,101,1082598793
185,102,97,1082598889
186,97,48,1082599200
187,97,102,1082599211
188,101,100,1082599573
189,48,58,1082599634
190,97,48,1082599663
191,103,72,1082602684
192,103,58,1082603045
193,104,59,1082605188
194,104,59,1082605197
195,103,72,1082607708
196,105,56,1082621116
197,106,72,1082621283
198,105,61,1082621566
199,105,8,1082621651
200,105,33,1082622103
201,105,107,1082622417
202,105,81,1082622850
203,44,102,1082623671
204,36,105,1082626917
205,36,104,1082627495
206,34,108,1082627779
207,34,109,1082628343
208,36,110,1082628540
209,111,112,1082629153
210,34,58,1082630061
211,36,113,1082630316
212,36,109,1082630340
213,79,109,1082631107
214,114,105,1082631276
215,101,115,1082631373
216,56,90,1082632175
217,56,105,1082632209
218,56,68,1082632251
219,29,58,1082633570
220,87,58,1082633810
221,44,116,1082634306
222,44,117,1082634880
223,44,117,1082634912
224,44,79,1082635439
225,80,58,1082635859
226,96,32,1082637030
227,118,100,1082637952
228,119,120,1082638288
229,119,120,1082638304
230,120,119,1082638375
231,120,75,1082638450
232,119,120,1082638549
233,120,119,1082638572
234,119,58,1082638648
235,74,73,1082639001
236,118,120,1082639596
237,121,108,1082640086
238,72,106,1082640310
239,44,92,1082641131
240,26,122,1082641546
241,44,79,1082643028
242,1,123,1082643822
243,96,124,1082645046
244,125,126,1082645132
245,36,104,1082646264
246,44,79,1082647818
247,44,79,1082648460
248,36,124,1082648598
249,36,127,1082649228
250,36,128,1082649279
251,44,79,1082649512
252,44,129,1082649626
253,44,116,1082649789
254,9,120,1082649932
255,79,58,1082650331
256,36,109,1082651446
257,124,109,1082651574
258,36,109,1082651746
259,124,61,1082651822
260,124,72,1082652024
261,36,109,1082652527
262,36,112,1082652868
263,124,85,1082653111
264,85,124,1082653225
265,32,130,1082653291
266,36,112,1082653325
267,124,85,1082653368
268,72,124,1082654256
269,124,8,1082654513
270,131,30,1082654841
271,99,126,1082655625
272,103,72,1082656004
273,103,72,1082656365
274,103,63,1082656642
275,103,117,1082656739
276,103,72,1082657123
277,131,30,1082659096
278,69,95,1082659786
279,69,124,1082659804
280,69,79,1082659815
281,132,30,1082659834
282,36,99,1082660167
283,36,133,1082660212
284,36,60,1082660254
285,36,134,1082660456
286,36,133,1082660529
287,36,81,1082660682
288,103,72,1082660959
289,103,135,1082661180
290,133,135,1082661264
291,135,133,1082661305
292,36,133,1082661315
293,103,135,1082661327
294,19,52,1082661550
295,133,135,1082661558
296,103,135,1082661626
297,103,135,1082661674
298,135,133,1082661680
299,133,135,1082661744
300,36,133,1082661758
301,36,133,1082662212
302,36,133,1082663009
303,9,109,1082665072
304,9,109,1082666066
305,62,136,1082667064
306,96,32,1082667612
307,137,138,1082668657
308,96,137,1082668856
309,19,120,1082669059
310,44,90,1082669070
311,96,137,1082669084
312,137,138,1082669093
313,19,139,1082669503
314,44,60,1082670054
315,44,88,1082670146
316,44,102,1082670217
317,44,90,1082670270
318,19,111,1082670279
319,44,90,1082670485
320,9,32,1082670509
321,44,90,1082670658
322,44,90,1082670829
323,103,63,1082671042
324,103,72,1082671089
325,38,86,1082671140
326,140,105,1082671177
327,103,72,1082671667
328,38,86,1082672160
329,38,101,1082672366
330,38,101,1082673121
331,38,101,1082673163
332,103,101,1082673258
333,38,101,1082673368
334,103,101,1082673375
335,38,61,1082674333
336,75,120,1082674337
337,38,81,1082674444
338,44,141,1082674586
339,44,141,1082674682
340,44,74,1082675157
341,44,127,1082675284
342,124,135,1082677447
343,140,124,1082677812
344,19,82,1082677904
345,19,82,1082678199
346,19,82,1082678323
347,105,56,1082678526
348,19,82,1082678584
349,124,135,1082678651
350,105,58,1082678715
351,105,63,1082678729
352,19,82,1082678732
353,105,61,1082678811
354,105,135,1082678995
355,124,135,1082679313
356,71,72,1082680214
357,135,124,1082680446
358,9,32,1082680581
359,63,105,1082680607
360,72,71,1082680842
361,142,58,1082680944
362,124,135,1082681030
363,124,135,1082681219
364,143,32,1082681372
365,144,99,1082681681
366,144,105,1082681822
367,144,121,1082681956
368,9,109,1082682060
369,103,109,1082683283
370,103,63,1082683465
371,103,63,1082684176
372,103,109,1082684314
373,48,81,1082684317
374,95,81,1082684499
375,145,48,1082684541
376,95,63,1082684551
377,145,95,1082684681
378,95,109,1082684685
379,145,95,1082684813
380,145,48,1082684949
381,145,95,1082685111
382,145,48,1082685314
383,145,48,1082685456
384,95,109,1082685527
385,96,48,1082685739
386,95,109,1082685872
387,96,95,1082686140
388,96,95,1082686308
389,96,48,1082686358
390,96,95,1082686527
391,105,144,1082687754
392,105,63,1082687768
393,6,146,1082688636
394,44,60,1082709203
395,44,105,1082709245
396,63,95,1082709668
397,44,32,1082711710
398,114,105,1082713081
399,34,109,1082713259
400,36,105,1082713415
401,36,109,1082713493
402,36,147,1082713985
403,44,32,1082714593
404,19,120,1082715559
405,9,136,1082716651
406,9,148,1082716671
407,9,149,1082716729
408,9,150,1082716776
409,9,151,1082716862
410,9,152,1082716954
411,9,153,1082716974
412,9,58,1082716991
413,9,58,1082717000
414,9,135,1082717023
415,9,22,1082717044
416,9,8,1082717142
417,9,154,1082717237
418,9,121,1082717357
419,1,135,1082717993
420,3,155,1082718237
421,36,109,1082718370
422,3,155,1082718430
423,30,132,1082718884
424,3,58,1082719401
425,68,56,1082721165
426,36,156,1082724270
427,131,30,1082725134
428,101,51,1082726116
429,101,34,1082726345
430,9,8,1082726568
431,36,73,1082727611
432,96,95,1082728281
433,9,76,1082729426
434,9,8,1082729655
435,9,157,1082730498
436,19,158,1082731120
437,9,58,1082731274
438,9,32,1082731606
439,44,129,1082735858
440,105,135,1082735879
441,105,129,1082735955
442,44,129,1082736123
443,44,129,1082736176
444,44,129,1082736216
445,51,101,1082736329
446,1,159,1082736365
447,44,74,1082737862
448,44,129,1082738036
449,160,72,1082740099
450,129,8,1082740948
451,36,147,1082741242
452,36,109,1082741311
453,36,105,1082741398
454,36,129,1082741429
455,9,8,1082741464
456,34,101,1082745220
457,161,162,1082746334
458,163,72,1082747726
459,32,164,1082748705
460,58,8,1082749452
461,32,58,1082749623
462,41,76,1082749964
463,41,120,1082750036
464,41,132,1082750072
465,41,165,1082750110
466,41,166,1082750145
467,41,157,1082750164
468,41,167,1082750210
469,41,168,1082750232
470,41,169,1082750248
471,41,134,1082750278
472,56,68,1082750368
473,41,56,1082750393
474,56,154,1082750421
475,56,170,1082750496
476,56,171,1082750514
477,56,172,1082750526
478,103,101,1082750860
479,51,157,1082750965
480,32,130,1082751108
481,8,58,1082751742
482,8,164,1082751835
483,103,63,1082752582
484,103,173,1082752751
485,67,154,1082753141
486,32,26,1082753641
